Name,Type,City,Cluster,Address,CAP,Lat,Long,Source,URL,Notes,URL 2
Rete Nema,City Manufacturing Network Hub,Milan,MI,"Via Bergognone, 34",20144,45.4526702164814,9.164228567401912,Manually added,https://www.retenema.it/,City Manufacturing network,
Repair Cafè Lab Barona,Repair Cafè,Milan,MI,"Via Ettore Ponti, 15",20143,45.44265893503051,9.157498132311014,Manually added,https://www.facebook.com/labbarona/,,
Repair Café Barcelona,Repair Cafè,Barcelona,BCN,"Carrer de Quito, 19",08030,41.446513841318136,2.200087286506892,Repaircafe.org,https://www.repaircafe.org/es/cafe/repair-cafe-barcelona/,,
Caixa d'Eines i Feines,Barcelona Recircula – Tool Library / Repair Cafè,Barcelona,BCN,"Carrer de Jaume Giralt, 11",08003,41.388161491650955,2.1818798517835862,bcnsostenible.cat,https://bcnsostenible.cat/web/punt/caixa-deines-i-feines,,
"Millor que nou, reparat",Repair Cafè,Barcelona,BCN,"Carrer Sepúlveda, 47",08015,41.37754686402578,2.155043697603374,bcnsostenible.cat,https://bcnsostenible.cat/web/punt/millor-que-nou-reparat,,
Biblioteca de les coses,Barcelona Recircula – Tool Library / Repair Cafè,Barcelona,BCN,"Josep Pla, 174",08020,41.41576297163875,2.2070895711643694,bcnsostenible.cat,https://bcnsostenible.cat/web/punt/biblioteca-de-les-coses,,
La Nau Vila Besòs,Barcelona Recircula – Tool Library / Repair Cafè,Barcelona,BCN,"Passatge del Torrent de l’Estadella, 11",08030,41.43315162461487,2.200425755482414,bcnsostenible.cat,https://bcnsostenible.cat/web/punt/la-nau-vila-besos,,
Casal del Barri del Clot Espai Antoni Miró Peris EAMP,Barcelona Recircula – Tool Library / Repair Cafè,Barcelona,BCN,"Plaça de Carme Montoriol, 10",08026,41.412969333704815,2.1844637305210473,bcnsostenible.cat,https://bcnsostenible.cat/web/punt/espai-antonio-miro-peris,,
Banc de Recursos Mancomunats de Ciutat Vella,Barcelona Recircula – Tool Library / Repair Cafè,Barcelona,BCN,"Carrer Tàpies, 6",08001,41.376841213913295,2.1709843423287394,bcnsostenible.cat,https://bcnsostenible.cat/web/punt/banc-de-recursos-mancomunats-de-ciutat-vella,,
Vestuariteca,Barcelona Recircula – Tool Library / Repair Cafè,Barcelona,BCN,"Plaça Bonet i Muixí, 3",08014,41.37442667089538, 2.1366856846574778,bcnsostenible.cat,https://bcnsostenible.cat/web/punt/vestuariteca,,
Fundació Banc de Recursos,Barcelona Recircula – Tool Library / Repair Cafè,Barcelona,BCN,"Gran de Gràcia 167, principal",08012,41.403616823507534,2.1522435693149555,bcnsostenible.cat,https://bcnsostenible.cat/web/punt/pont-solidari-banc-de-recursos,,
